invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
2.02E+11,7/15/15 10:45,G816,7000300,210101,1,2
2.02E+11,7/15/15 12:16,G816,7070884,70203,1,2
2.02E+11,7/15/15 12:16,G816,7070884,70203,1,2
2.02E+11,7/15/15 12:16,G816,7070891,70401,1,6
2.02E+11,7/15/15 12:16,G816,7090363,70401,1,6
2.02E+11,7/15/15 14:10,G816,7000300,210101,1,2
2.02E+11,7/15/15 15:28,G816,7000126,210301,1,2
2.02E+11,7/15/15 16:20,G816,7308017,210101,1,3.5
2.02E+11,7/15/15 16:22,G816,15000231,70301,1,2
2.02E+11,7/15/15 16:24,628,7000300,210101,1,2
2.02E+11,7/15/15 16:25,G816,7070884,70203,3,2
2.02E+11,7/15/15 16:39,G816,7070884,70203,1,2
2.02E+11,7/15/15 16:39,G816,7070884,70203,1,2
2.02E+11,7/15/15 16:39,G816,7071096,70201,1,5
2.02E+11,7/15/15 16:39,G816,7071096,70201,1,5
2.02E+11,7/15/15 17:11,G816,7000126,210301,1,2
2.02E+11,7/15/15 17:27,628,7000133,210301,1,3
2.02E+11,7/15/15 18:06,628,7000300,210101,1,2
2.02E+11,7/15/15 18:21,G816,7070884,70203,1,2
2.02E+11,7/15/15 18:21,G816,7071133,70301,1,2
2.02E+11,7/15/15 18:21,G816,7000300,210101,1,2
2.02E+11,7/15/15 18:29,G816,7090363,70401,1,6
2.02E+11,7/15/15 19:36,G816,7000126,210301,2,2
2.02E+11,7/15/15 20:03,G816,7314599,70101,2,1.5
2.02E+11,7/15/15 20:03,G816,7071096,70201,1,5
2.02E+11,7/15/15 20:04,G816,7000294,210101,1,1.5
2.02E+11,7/15/15 20:06,628,7308017,210101,1,3.5
2.02E+11,7/15/15 21:33,628,7308017,210101,1,3.5
2.02E+11,7/15/15 22:21,G816,7000300,210101,1,2
2.02E+11,7/16/15 0:11,628,7000126,210301,1,2
2.02E+11,7/16/15 0:22,628,7000133,210301,1,3
2.02E+11,7/16/15 0:44,628,7000126,210301,2,2
2.02E+11,7/16/15 0:44,628,7000300,210101,1,2
2.02E+11,7/16/15 0:56,628,7308017,210101,1,3.5
2.02E+11,7/16/15 7:59,G816,7313684,70101,3,2.5
2.02E+11,7/16/15 8:08,G816,7071133,70301,1,2
2.02E+11,7/16/15 8:08,G816,7071218,70101,1,3
2.02E+11,7/16/15 8:08,G816,7313684,70101,1,2.5
2.02E+11,7/16/15 8:08,G816,7313684,70101,1,2.5
2.02E+11,7/16/15 8:08,G816,7314612,70101,3,1.5
2.02E+11,7/16/15 8:09,G816,7313684,70101,5,2.5
2.02E+11,7/16/15 8:10,G816,7071218,70101,1,3
2.02E+11,7/16/15 8:28,G816,7090363,70401,1,6
2.02E+11,7/16/15 8:41,G816,7071218,70101,1,3
2.02E+11,7/16/15 9:02,G816,7314599,70101,2,1.5
2.02E+11,7/16/15 9:04,G816,7090363,70401,1,6
2.02E+11,7/16/15 9:15,G816,7090370,70401,1,6
2.02E+11,7/16/15 9:17,G816,7070891,70401,2,6
2.02E+11,7/16/15 9:17,G816,7313684,70101,1,2.5
2.02E+11,7/16/15 9:41,G816,21000782,210301,2,3.5
2.02E+11,7/16/15 9:49,G816,7314612,70101,2,1.5
2.02E+11,7/16/15 9:49,G816,30000742,70101,1,1.5
2.02E+11,7/16/15 9:51,G816,7000300,210101,1,2
2.02E+11,7/16/15 9:51,G816,7071133,70301,2,2
2.02E+11,7/16/15 10:36,G816,7000300,210101,1,2
2.02E+11,7/16/15 10:36,G816,7071133,70301,1,2
2.02E+11,7/16/15 10:36,G816,7313684,70101,1,2.5
2.02E+11,7/16/15 10:40,G816,7071096,70201,1,5
2.02E+11,7/16/15 11:03,G816,7000300,210101,1,2
2.02E+11,7/16/15 11:03,G816,7308765,210301,1,2.5
2.02E+11,7/16/15 11:07,G816,7000133,210301,1,3
2.02E+11,7/16/15 11:21,G816,7000300,210101,1,2
2.02E+11,7/16/15 12:10,G816,7000140,210301,1,1.5
2.02E+11,7/16/15 12:10,G816,7000294,210101,1,1.5
2.02E+11,7/16/15 12:12,G816,7000140,210301,1,1.5
2.02E+11,7/16/15 12:12,G816,7070884,70203,1,2
2.02E+11,7/16/15 12:12,G816,7070891,70401,3,6
2.02E+11,7/16/15 12:12,G816,7071096,70201,3,5
2.02E+11,7/16/15 12:13,G816,7090363,70401,1,6
2.02E+11,7/16/15 12:16,G816,7070891,70401,1,6
